"IDCliente","EstadoCivil","Género","Ingresos","Hijos","Educación","Ocupación","Casa","Coches","Distancia","Región","Edad","Comprador"
"15501","Casado","Masculino","70000","4","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","36","Yes"
"15529","Casado","Masculino","60000","4","Bachelors","Professional","Yes","2","2-5 Miles","Norte America","43","Yes"
"15532","Soltero","Masculino","60000","4","Bachelors","Professional","Yes","2","2-5 Miles","Norte America","43","Yes"
"15555","Casado","Femenino","60000","1","Partial College","Skilled Manual","Yes","1","2-5 Miles","Norte America","45","Yes"
"15559","Casado","Masculino","60000","5","Bachelors","Professional","Yes","1","2-5 Miles","Norte America","47","No"
"15580","Casado","Masculino","60000","2","Bachelors","Professional","Yes","1","2-5 Miles","Pacifico","38","Yes"
"15608","Soltero","Femenino","30000","0","Partial College","Clerical","No","1","2-5 Miles","Europa","33","No"
"15612","Soltero","Masculino","30000","0","High School","Manual","No","1","1-2 Miles","Europa","28","No"
"15628","Casado","Femenino","40000","1","Bachelors","Skilled Manual","Yes","1","0-1 Miles","Europa","89","No"
"15629","Soltero","Femenino","10000","0","Partial High School","Manual","Yes","2","1-2 Miles","Europa","34","No"
"15657","Casado","Masculino","30000","3","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","46","Yes"
"15665","Casado","Femenino","30000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","47","Yes"
"15682","Soltero","Femenino","80000","5","Bachelors","Management","Yes","2","10+ Miles","Europa","62","No"
"15740","Casado","Masculino","80000","5","Bachelors","Management","Yes","2","1-2 Miles","Norte America","64","No"
"15749","Soltero","Femenino","70000","4","Bachelors","Management","Yes","2","10+ Miles","Norte America","61","No"
"15752","Casado","Masculino","80000","2","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","50","Yes"
"15758","Casado","Masculino","130000","0","Graduate Degree","Management","Yes","0","5-10 Miles","Pacifico","48","No"
"15799","Casado","Femenino","90000","1","Bachelors","Professional","Yes","1","2-5 Miles","Pacifico","47","Yes"
"15814","Soltero","Femenino","40000","0","High School","Skilled Manual","Yes","1","5-10 Miles","Norte America","30","No"
"15822","Casado","Masculino","40000","2","Bachelors","Management","Yes","2","0-1 Miles","Pacifico","67","No"
"15839","Soltero","Masculino","30000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","32","No"
"15862","Soltero","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","33","Yes"
"15879","Casado","Masculino","70000","5","Bachelors","Management","Yes","2","2-5 Miles","Norte America","61","No"
"15895","Soltero","Femenino","60000","2","Bachelors","Management","Yes","0","10+ Miles","Norte America","58","No"
"15922","Casado","Masculino","150000","2","High School","Professional","Yes","4","0-1 Miles","Europa","48","No"
"15926","Soltero","Femenino","120000","3","High School","Professional","Yes","4","5-10 Miles","Europa","50","Yes"
"15940","Casado","Masculino","100000","4","Partial College","Professional","Yes","4","0-1 Miles","Norte America","40","No"
"15982","Casado","Masculino","110000","5","Partial College","Professional","Yes","4","2-5 Miles","Norte America","46","No"
"16007","Casado","Femenino","90000","5","Bachelors","Management","Yes","2","1-2 Miles","Norte America","66","Yes"
"16009","Soltero","Masculino","170000","1","Graduate Degree","Management","No","4","0-1 Miles","Norte America","66","No"
"16020","Casado","Masculino","40000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","28","Yes"
"16043","Soltero","Masculino","10000","1","Bachelors","Manual","Yes","0","0-1 Miles","Europa","48","No"
"16112","Soltero","Masculino","70000","4","Bachelors","Professional","Yes","2","2-5 Miles","Norte America","43","Yes"
"16122","Casado","Masculino","40000","4","High School","Skilled Manual","Yes","2","0-1 Miles","Norte America","44","Yes"
"16144","Casado","Masculino","70000","1","Graduate Degree","Professional","Yes","1","0-1 Miles","Norte America","46","Yes"
"16145","Soltero","Femenino","70000","5","Graduate Degree","Professional","Yes","3","10+ Miles","Norte America","46","Yes"
"16151","Casado","Femenino","60000","1","Bachelors","Professional","Yes","1","2-5 Miles","Norte America","48","Yes"
"16154","Casado","Femenino","70000","5","Bachelors","Professional","Yes","2","2-5 Miles","Norte America","47","No"
"16163","Soltero","Masculino","60000","2","Bachelors","Professional","Yes","1","2-5 Miles","Pacifico","38","Yes"
"16179","Soltero","Femenino","80000","5","Bachelors","Professional","Yes","4","1-2 Miles","Pacifico","38","No"
"16185","Soltero","Masculino","60000","4","Bachelors","Professional","Yes","3","10+ Miles","Pacifico","41","No"
"16188","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","1-2 Miles","Europa","26","No"
"16200","Soltero","Femenino","10000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","35","No"
"16209","Soltero","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Europa","36","No"
"16217","Soltero","Femenino","60000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","39","No"
"16245","Soltero","Femenino","80000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","47","No"
"16247","Soltero","Femenino","60000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","47","No"
"16259","Soltero","Femenino","10000","4","Partial High School","Manual","Yes","2","0-1 Miles","Europa","40","Yes"
"16337","Casado","Masculino","60000","0","Partial College","Skilled Manual","No","2","1-2 Miles","Norte America","29","No"
"16377","Soltero","Femenino","80000","4","Graduate Degree","Skilled Manual","No","0","0-1 Miles","Norte America","47","No"
"16390","Soltero","Masculino","30000","1","Bachelors","Clerical","No","0","0-1 Miles","Europa","38","Yes"
"16406","Casado","Masculino","40000","0","Bachelors","Clerical","No","0","0-1 Miles","Europa","38","Yes"
"16410","Soltero","Femenino","10000","4","Partial High School","Manual","Yes","2","0-1 Miles","Europa","41","Yes"
"16438","Casado","Femenino","10000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","30","No"
"16466","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","32","Yes"
"16468","Soltero","Masculino","30000","0","Partial College","Clerical","Yes","1","2-5 Miles","Europa","30","No"
"16487","Soltero","Femenino","30000","3","High School","Skilled Manual","Yes","2","5-10 Miles","Pacifico","55","No"
"16489","Casado","Masculino","30000","3","High School","Skilled Manual","Yes","2","5-10 Miles","Pacifico","55","No"
"16514","Soltero","Masculino","10000","0","Partial College","Manual","Yes","1","1-2 Miles","Pacifico","26","Yes"
"16549","Soltero","Femenino","30000","3","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","47","Yes"
"16559","Soltero","Femenino","10000","2","High School","Manual","Yes","0","0-1 Miles","Europa","36","Yes"
"16614","Casado","Femenino","80000","0","Bachelors","Professional","Yes","3","10+ Miles","Pacifico","32","No"
"16651","Casado","Femenino","120000","2","Bachelors","Management","Yes","3","5-10 Miles","Norte America","62","No"
"16675","Soltero","Femenino","160000","0","Graduate Degree","Management","No","3","0-1 Miles","Pacifico","47","Yes"
"16713","Casado","Masculino","40000","2","Bachelors","Management","Yes","1","0-1 Miles","Pacifico","52","Yes"
"16725","Casado","Masculino","30000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","26","No"
"16751","Casado","Masculino","60000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","32","Yes"
"16753","Soltero","Femenino","70000","0","Partial College","Skilled Manual","Yes","2","5-10 Miles","Norte America","34","Yes"
"16773","Casado","Masculino","60000","1","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","33","No"
"16791","Soltero","Masculino","60000","5","Bachelors","Management","Yes","3","10+ Miles","Norte America","59","Yes"
"16795","Casado","Femenino","70000","4","Bachelors","Management","Yes","1","1-2 Miles","Norte America","59","No"
"16813","Casado","Masculino","60000","2","Partial College","Professional","Yes","2","10+ Miles","Norte America","55","No"
"16867","Soltero","Femenino","130000","1","Bachelors","Management","No","3","0-1 Miles","Norte America","45","Yes"
"16871","Casado","Femenino","90000","2","High School","Professional","Yes","1","10+ Miles","Norte America","51","Yes"
"16890","Casado","Masculino","60000","3","Partial High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","52","Yes"
"16895","Casado","Femenino","40000","3","Partial College","Professional","No","2","1-2 Miles","Norte America","54","Yes"
"16917","Casado","Masculino","120000","1","Bachelors","Management","Yes","4","0-1 Miles","Norte America","38","No"
"17000","Soltero","Femenino","70000","4","Bachelors","Skilled Manual","Yes","2","2-5 Miles","Norte America","43","Yes"
"17012","Casado","Femenino","60000","3","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","42","Yes"
"17025","Soltero","Masculino","50000","0","Partial College","Skilled Manual","No","1","2-5 Miles","Norte America","39","Yes"
"17048","Soltero","Femenino","90000","1","Graduate Degree","Management","Yes","0","0-1 Miles","Pacifico","36","Yes"
"17185","Casado","Femenino","170000","4","Partial College","Professional","No","3","5-10 Miles","Europa","48","Yes"
"17191","Soltero","Masculino","130000","3","Partial College","Professional","No","3","0-1 Miles","Europa","51","Yes"
"17197","Soltero","Femenino","90000","5","Partial College","Professional","Yes","2","10+ Miles","Europa","62","No"
"17203","Casado","Femenino","130000","4","Partial College","Professional","Yes","4","5-10 Miles","Europa","61","Yes"
"17230","Casado","Masculino","80000","0","Bachelors","Professional","Yes","3","10+ Miles","Pacifico","30","No"
"17238","Soltero","Masculino","80000","0","Bachelors","Professional","Yes","3","10+ Miles","Pacifico","32","No"
"17260","Casado","Masculino","90000","5","Partial College","Professional","Yes","3","0-1 Miles","Norte America","41","No"
"17269","Soltero","Masculino","60000","3","Bachelors","Professional","No","0","0-1 Miles","Norte America","47","Yes"
"17310","Casado","Masculino","60000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Pacifico","45","Yes"
"17319","Soltero","Femenino","70000","0","Bachelors","Professional","No","1","5-10 Miles","Pacifico","42","No"
"17324","Casado","Femenino","100000","4","Bachelors","Professional","Yes","1","10+ Miles","Pacifico","46","No"
"17337","Soltero","Masculino","40000","0","High School","Skilled Manual","Yes","1","5-10 Miles","Norte America","31","No"
"17352","Casado","Masculino","50000","2","Graduate Degree","Management","Yes","1","5-10 Miles","Pacifico","64","Yes"
"17369","Soltero","Masculino","30000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","27","No"
"17436","Casado","Masculino","60000","2","High School","Professional","No","2","1-2 Miles","Norte America","51","No"
"17450","Casado","Masculino","80000","5","Partial College","Professional","Yes","3","5-10 Miles","Norte America","45","No"
"17458","Soltero","Masculino","70000","3","High School","Professional","Yes","0","5-10 Miles","Norte America","52","Yes"
"17462","Casado","Masculino","70000","3","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","53","Yes"
"17471","Soltero","Femenino","80000","4","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","67","No"
"17482","Soltero","Femenino","40000","0","Partial High School","Clerical","Yes","2","5-10 Miles","Norte America","29","No"
"17504","Soltero","Femenino","80000","2","Partial College","Skilled Manual","Yes","2","5-10 Miles","Pacifico","52","Yes"
"17519","Casado","Femenino","60000","0","Partial College","Professional","Yes","2","5-10 Miles","Norte America","32","No"
"17522","Casado","Masculino","120000","4","Bachelors","Management","Yes","1","2-5 Miles","Pacifico","47","No"
"17531","Casado","Masculino","60000","2","High School","Professional","No","2","5-10 Miles","Norte America","50","No"
"17533","Casado","Masculino","40000","3","Partial College","Professional","No","2","5-10 Miles","Norte America","73","Yes"
"17541","Casado","Femenino","40000","4","High School","Skilled Manual","Yes","2","2-5 Miles","Norte America","43","No"
"17546","Casado","Femenino","70000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Norte America","44","Yes"
"17650","Soltero","Femenino","40000","2","Partial College","Clerical","Yes","2","1-2 Miles","Europa","35","No"
"17654","Soltero","Femenino","40000","3","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","30","Yes"
"17657","Casado","Masculino","40000","4","Partial College","Clerical","No","0","0-1 Miles","Norte America","30","No"
"17668","Soltero","Masculino","30000","2","High School","Skilled Manual","Yes","2","1-2 Miles","Norte America","50","Yes"
"17699","Casado","Masculino","60000","1","Graduate Degree","Skilled Manual","No","0","0-1 Miles","Norte America","35","No"
"17702","Casado","Masculino","10000","1","Graduate Degree","Manual","Yes","0","0-1 Miles","Europa","37","No"
"17703","Casado","Femenino","10000","1","Graduate Degree","Manual","Yes","0","0-1 Miles","Europa","40","No"
"17754","Soltero","Femenino","30000","3","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","46","Yes"
"17793","Casado","Femenino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","38","Yes"
"17841","Soltero","Masculino","30000","0","Partial College","Clerical","No","1","0-1 Miles","Europa","29","Yes"
"17843","Soltero","Femenino","10000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","32","No"
"17845","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","1-2 Miles","Europa","32","No"
"17848","Soltero","Masculino","30000","0","Partial College","Clerical","No","1","2-5 Miles","Europa","31","Yes"
"17858","Casado","Masculino","40000","4","High School","Skilled Manual","Yes","2","2-5 Miles","Norte America","44","Yes"
"17864","Casado","Femenino","60000","1","Partial College","Skilled Manual","Yes","1","2-5 Miles","Norte America","46","Yes"
"17882","Casado","Masculino","20000","1","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","44","No"
"17891","Casado","Femenino","10000","2","Partial College","Manual","Yes","1","0-1 Miles","Europa","50","Yes"
"17894","Casado","Femenino","20000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","50","Yes"
"17907","Casado","Femenino","10000","0","Partial College","Manual","Yes","1","2-5 Miles","Pacifico","27","No"
"17926","Casado","Femenino","20000","0","Bachelors","Clerical","No","0","0-1 Miles","Pacifico","28","Yes"
"17960","Casado","Femenino","40000","0","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","35","Yes"
"17964","Casado","Masculino","40000","0","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","37","Yes"
"17978","Casado","Masculino","40000","0","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","37","Yes"
"17994","Soltero","Masculino","20000","2","High School","Manual","Yes","2","0-1 Miles","Europa","42","No"
"18012","Casado","Femenino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","41","No"
"18018","Soltero","Masculino","30000","3","Partial College","Clerical","Yes","0","0-1 Miles","Europa","43","No"
"18050","Casado","Femenino","60000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Norte America","45","Yes"
"18052","Casado","Femenino","60000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Norte America","45","Yes"
"18058","Soltero","Femenino","20000","3","High School","Skilled Manual","Yes","2","2-5 Miles","Norte America","78","No"
"18066","Soltero","Masculino","70000","5","Bachelors","Management","Yes","3","10+ Miles","Norte America","60","Yes"
"18069","Casado","Masculino","70000","5","Bachelors","Management","Yes","4","10+ Miles","Norte America","60","No"
"18105","Casado","Femenino","60000","2","Partial College","Professional","Yes","1","10+ Miles","Norte America","55","No"
"18140","Casado","Masculino","130000","3","Partial College","Professional","No","3","5-10 Miles","Europa","51","Yes"
"18144","Casado","Femenino","80000","5","Bachelors","Management","Yes","2","2-5 Miles","Europa","61","No"
"18145","Casado","Masculino","80000","5","Bachelors","Management","No","2","2-5 Miles","Europa","62","No"
"18151","Soltero","Masculino","80000","5","Partial College","Professional","No","2","10+ Miles","Europa","59","No"
"18153","Casado","Femenino","100000","2","Bachelors","Management","Yes","4","10+ Miles","Europa","59","No"
"18160","Casado","Masculino","130000","3","High School","Professional","Yes","4","5-10 Miles","Europa","51","Yes"
"18172","Casado","Masculino","130000","4","High School","Professional","Yes","3","0-1 Miles","Europa","55","No"
"18253","Casado","Femenino","80000","5","Graduate Degree","Management","Yes","3","0-1 Miles","Pacifico","40","No"
"18267","Casado","Masculino","60000","3","Bachelors","Professional","Yes","2","5-10 Miles","Pacifico","43","No"
"18283","Soltero","Femenino","100000","0","Bachelors","Professional","No","1","5-10 Miles","Pacifico","40","No"
"18294","Casado","Femenino","90000","1","Bachelors","Professional","Yes","1","5-10 Miles","Pacifico","46","No"
"18299","Casado","Masculino","70000","5","Partial College","Skilled Manual","Yes","2","5-10 Miles","Pacifico","44","No"
"18322","Soltero","Masculino","30000","0","Partial High School","Clerical","No","2","0-1 Miles","Norte America","26","No"
"18329","Soltero","Masculino","30000","0","Partial High School","Clerical","No","2","5-10 Miles","Norte America","27","No"
"18347","Soltero","Femenino","30000","0","Partial College","Skilled Manual","No","1","1-2 Miles","Norte America","31","No"
"18363","Casado","Masculino","40000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","28","Yes"
"18390","Casado","Masculino","80000","5","Partial College","Professional","Yes","2","0-1 Miles","Norte America","44","No"
"18391","Soltero","Femenino","80000","5","Partial College","Professional","Yes","2","5-10 Miles","Norte America","44","No"
"18411","Casado","Masculino","60000","2","High School","Professional","No","2","5-10 Miles","Norte America","51","No"
"18423","Soltero","Masculino","80000","2","Partial High School","Skilled Manual","No","2","1-2 Miles","Norte America","52","No"
"18435","Soltero","Femenino","70000","5","Graduate Degree","Management","Yes","2","10+ Miles","Norte America","67","Yes"
"18484","Soltero","Masculino","80000","2","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","50","Yes"
"18491","Soltero","Femenino","70000","2","High School","Professional","Yes","2","5-10 Miles","Pacifico","49","Yes"
"18494","Casado","Masculino","110000","5","Bachelors","Management","Yes","4","2-5 Miles","Pacifico","48","Yes"
"18504","Casado","Masculino","70000","2","Partial High School","Skilled Manual","No","2","1-2 Miles","Norte America","49","No"
"18517","Casado","Masculino","100000","3","Bachelors","Management","Yes","4","0-1 Miles","Norte America","41","No"
"18545","Casado","Masculino","40000","4","High School","Professional","No","2","10+ Miles","Norte America","61","Yes"
"18560","Casado","Femenino","70000","2","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","34","Yes"
"18572","Casado","Femenino","60000","0","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","39","No"
"18577","Casado","Femenino","60000","0","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","40","No"
"18580","Casado","Femenino","60000","2","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","36","Yes"
"18594","Soltero","Femenino","80000","3","Bachelors","Skilled Manual","Yes","3","10+ Miles","Norte America","40","Yes"
"18607","Soltero","Femenino","60000","4","Bachelors","Skilled Manual","Yes","2","2-5 Miles","Norte America","42","Yes"
"18613","Soltero","Masculino","70000","0","Bachelors","Professional","No","1","2-5 Miles","Norte America","37","Yes"
"18626","Soltero","Masculino","40000","2","Partial College","Clerical","Yes","0","1-2 Miles","Europa","33","Yes"
"18649","Soltero","Masculino","30000","1","High School","Clerical","Yes","2","1-2 Miles","Norte America","51","Yes"
"18674","Soltero","Femenino","80000","4","Graduate Degree","Skilled Manual","No","0","0-1 Miles","Norte America","48","No"
"18711","Soltero","Femenino","70000","5","Bachelors","Professional","Yes","4","10+ Miles","Pacifico","39","No"
"18740","Casado","Masculino","80000","5","Bachelors","Professional","No","1","0-1 Miles","Pacifico","47","Yes"
"18752","Soltero","Femenino","40000","0","High School","Skilled Manual","Yes","1","5-10 Miles","Norte America","31","No"
"18783","Soltero","Masculino","80000","0","Bachelors","Management","No","1","0-1 Miles","Norte America","38","Yes"
"18847","Casado","Femenino","60000","2","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","70","No"
"18858","Soltero","Masculino","60000","2","Partial High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","52","Yes"
"18891","Casado","Femenino","40000","0","Partial College","Skilled Manual","Yes","2","5-10 Miles","Norte America","28","No"
"18910","Soltero","Masculino","30000","0","Partial College","Skilled Manual","Yes","2","5-10 Miles","Norte America","30","No"
"18935","Casado","Femenino","130000","0","Graduate Degree","Management","Yes","3","1-2 Miles","Norte America","40","No"
"18949","Soltero","Masculino","70000","3","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","74","Yes"
"18952","Casado","Femenino","100000","4","Bachelors","Management","Yes","4","0-1 Miles","Norte America","40","No"
"18976","Soltero","Masculino","40000","4","High School","Professional","Yes","2","10+ Miles","Norte America","62","Yes"
"19002","Casado","Femenino","60000","2","Partial College","Professional","Yes","1","2-5 Miles","Norte America","57","Yes"
"19012","Casado","Masculino","80000","3","Bachelors","Management","Yes","1","1-2 Miles","Norte America","56","No"
"19057","Casado","Femenino","120000","3","Bachelors","Management","No","2","10+ Miles","Europa","52","Yes"
"19066","Casado","Masculino","130000","4","Partial College","Professional","No","3","10+ Miles","Europa","54","No"
"19117","Soltero","Femenino","60000","1","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","36","Yes"
"19133","Soltero","Masculino","50000","2","Bachelors","Skilled Manual","Yes","1","2-5 Miles","Norte America","38","Yes"
"19143","Soltero","Femenino","80000","3","Bachelors","Skilled Manual","Yes","2","2-5 Miles","Norte America","41","Yes"
"19147","Casado","Masculino","40000","0","Bachelors","Professional","No","1","0-1 Miles","Norte America","42","No"
"19163","Casado","Femenino","70000","4","Bachelors","Professional","Yes","2","0-1 Miles","Norte America","43","Yes"
"19164","Soltero","Femenino","70000","0","Bachelors","Professional","No","1","2-5 Miles","Norte America","38","Yes"
"19174","Soltero","Femenino","30000","0","High School","Manual","No","1","2-5 Miles","Europa","32","Yes"
"19183","Soltero","Masculino","10000","0","Partial High School","Manual","Yes","2","1-2 Miles","Europa","35","No"
"19193","Soltero","Masculino","40000","2","Partial College","Clerical","Yes","0","1-2 Miles","Europa","35","Yes"
"19217","Casado","Masculino","30000","2","High School","Skilled Manual","Yes","2","1-2 Miles","Norte America","49","No"
"19223","Casado","Femenino","30000","2","High School","Skilled Manual","Yes","2","1-2 Miles","Norte America","48","No"
"19228","Casado","Femenino","40000","2","Partial College","Clerical","Yes","1","0-1 Miles","Norte America","48","No"
"19235","Casado","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","34","No"
"19255","Soltero","Masculino","10000","2","Partial College","Manual","Yes","1","0-1 Miles","Europa","51","Yes"
"19273","Casado","Femenino","20000","2","Partial College","Manual","Yes","0","0-1 Miles","Europa","63","No"
"19280","Casado","Masculino","20000","2","Partial College","Manual","Yes","1","0-1 Miles","Europa","48","Yes"
"19291","Soltero","Femenino","10000","2","High School","Manual","Yes","0","0-1 Miles","Europa","35","No"
"19299","Casado","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Europa","36","Yes"
"19305","Soltero","Femenino","10000","2","High School","Manual","Yes","1","0-1 Miles","Europa","38","Yes"
"19331","Soltero","Masculino","20000","2","High School","Manual","Yes","1","0-1 Miles","Europa","40","No"
"19364","Casado","Masculino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","43","Yes"
"19389","Soltero","Masculino","30000","0","Partial College","Clerical","No","1","2-5 Miles","Europa","28","No"
"19399","Soltero","Masculino","40000","0","Bachelors","Professional","No","1","2-5 Miles","Norte America","45","No"
"19413","Soltero","Masculino","60000","3","Bachelors","Professional","No","1","0-1 Miles","Norte America","47","Yes"
"19441","Soltero","Masculino","40000","0","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","37","Yes"
"19442","Soltero","Masculino","50000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Europa","37","Yes"
"19445","Casado","Femenino","10000","2","High School","Manual","No","1","0-1 Miles","Europa","38","No"
"19461","Soltero","Femenino","10000","4","Partial High School","Manual","Yes","2","0-1 Miles","Europa","40","No"
"19475","Casado","Femenino","40000","0","Bachelors","Professional","No","0","0-1 Miles","Europa","40","Yes"
"19477","Casado","Masculino","40000","0","Bachelors","Professional","Yes","0","0-1 Miles","Europa","40","Yes"
"19482","Casado","Masculino","30000","1","Partial College","Clerical","Yes","1","0-1 Miles","Europa","44","Yes"
"19487","Casado","Masculino","30000","2","Partial College","Clerical","No","2","0-1 Miles","Europa","42","No"
"19491","Soltero","Masculino","30000","2","Partial College","Clerical","Yes","2","0-1 Miles","Europa","42","No"
"19508","Casado","Masculino","10000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","30","No"
"19543","Casado","Masculino","70000","5","Graduate Degree","Professional","No","3","10+ Miles","Norte America","47","No"
"19562","Soltero","Femenino","60000","2","Bachelors","Professional","Yes","1","2-5 Miles","Pacifico","37","Yes"
"19608","Casado","Masculino","80000","5","Bachelors","Professional","Yes","4","1-2 Miles","Pacifico","40","No"
"19618","Casado","Masculino","70000","5","Partial College","Skilled Manual","Yes","2","0-1 Miles","Pacifico","44","No"
"19626","Casado","Masculino","70000","5","Partial College","Skilled Manual","Yes","3","5-10 Miles","Pacifico","45","No"
"19634","Casado","Masculino","40000","0","High School","Skilled Manual","Yes","1","5-10 Miles","Norte America","31","No"
"19650","Casado","Femenino","30000","2","Partial College","Clerical","No","2","0-1 Miles","Pacifico","67","No"
"19660","Casado","Masculino","80000","4","Bachelors","Management","Yes","0","0-1 Miles","Norte America","43","No"
"19661","Soltero","Masculino","90000","4","Bachelors","Management","Yes","1","1-2 Miles","Norte America","38","Yes"
"19664","Soltero","Masculino","100000","3","Bachelors","Management","No","3","1-2 Miles","Norte America","38","No"
"19675","Casado","Masculino","20000","4","High School","Skilled Manual","Yes","2","5-10 Miles","Pacifico","60","No"
"19731","Casado","Masculino","80000","4","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","68","No"
"19741","Soltero","Femenino","80000","4","Graduate Degree","Management","Yes","2","5-10 Miles","Norte America","65","No"
"19747","Casado","Masculino","50000","4","Bachelors","Management","Yes","2","10+ Miles","Norte America","63","No"
"19748","Casado","Masculino","20000","4","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","60","No"
"19758","Soltero","Masculino","60000","0","Partial College","Skilled Manual","No","2","1-2 Miles","Norte America","29","No"
"19784","Casado","Femenino","80000","2","High School","Skilled Manual","Yes","2","5-10 Miles","Pacifico","50","Yes"
"19812","Soltero","Femenino","70000","2","Partial College","Professional","Yes","0","5-10 Miles","Norte America","49","Yes"
"19856","Casado","Femenino","60000","4","Bachelors","Management","Yes","2","2-5 Miles","Norte America","60","No"
"19884","Casado","Masculino","60000","2","High School","Professional","Yes","2","2-5 Miles","Norte America","55","Yes"
"19889","Soltero","Femenino","70000","2","Partial High School","Skilled Manual","No","2","2-5 Miles","Norte America","54","Yes"
"19914","Casado","Masculino","80000","5","Bachelors","Management","Yes","2","2-5 Miles","Europa","62","No"
"20000","Casado","Masculino","60000","1","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","35","Yes"
"20053","Soltero","Masculino","40000","2","Partial College","Clerical","Yes","0","0-1 Miles","Europa","34","No"
"20060","Soltero","Femenino","30000","0","High School","Manual","No","1","2-5 Miles","Europa","34","Yes"
"20076","Soltero","Femenino","10000","2","High School","Manual","Yes","2","1-2 Miles","Norte America","53","Yes"
"20084","Casado","Masculino","20000","2","High School","Manual","No","2","0-1 Miles","Norte America","53","No"
"20147","Casado","Femenino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","65","No"
"20171","Casado","Femenino","20000","2","Partial College","Manual","Yes","1","0-1 Miles","Europa","46","Yes"
"20196","Casado","Masculino","60000","1","Partial College","Skilled Manual","Yes","1","2-5 Miles","Norte America","45","Yes"
"20228","Casado","Masculino","100000","0","Graduate Degree","Management","Yes","0","2-5 Miles","Pacifico","40","Yes"
"20236","Soltero","Masculino","60000","3","Bachelors","Professional","No","2","0-1 Miles","Pacifico","43","Yes"
"20277","Casado","Femenino","30000","2","Partial College","Clerical","No","2","0-1 Miles","Pacifico","69","No"
"20296","Soltero","Femenino","60000","0","Partial College","Skilled Manual","No","1","1-2 Miles","Norte America","33","Yes"
